source,cell,cls,documented,measurable,dist_km,lam_bg_per_day,expected_5d,crit_RR,R_min_80pct,sig_primary_kPa,sig_secondary_kPa,dTau_min_kPa_Asigma0.03,R_pred_primary_Asigma0.03,power_primary_Asigma0.03,R_pred_secondary_Asigma0.03,power_secondary_Asigma0.03,dTau_min_kPa_Asigma0.10,R_pred_primary_Asigma0.10,power_primary_Asigma0.10,R_pred_secondary_Asigma0.10,power_secondary_Asigma0.10,dTau_min_kPa_Asigma0.15,R_pred_primary_Asigma0.15,power_primary_Asigma0.15,R_pred_secondary_Asigma0.15,power_secondary_Asigma0.15
ridgecrest,cedar_city_ut,B,True,True,452.8752675808203,0.03333333333333333,0.16666666666666666,6.0,18.25,32.94428840513006,178.58328673292627,87.12495240085502,2.99859230487962,0.1905,384.8202047004377,0.951,290.41650800285004,1.3901934137582774,0.08225,5.964545554575936,0.37925,435.6247620042751,1.2456140103756943,0.08025,3.2889068492062,0.205
ridgecrest,smith_valley_nv,C,True,False,372.851983791387,0.022222222222222223,0.11111111111111112,9.0,,45.493996806712104,229.4939174357176,,4.5560980217488245,0.1475,2100.219722199975,0.8625,,1.576078765139331,0.05125,9.923832370443876,0.31425,,1.354311642107916,0.0445,4.617989557047388,0.144
ridgecrest,parkfield,C,False,True,261.3958444456314,0.15555555555555556,0.7777777777777778,3.6,6.25,82.03303999769591,362.859012523937,54.97744391244931,15.40103425515075,0.99875,179028.52281510702,1.0,183.25814637483103,2.271250134568648,0.2195,37.6596837330383,1.0,274.8872195622465,1.7278656755746569,0.13175,11.235294112057492,0.9835
ridgecrest,mendocino,C,False,True,789.9403681005164,0.45555555555555555,2.2777777777777777,2.7272727272727275,3.950000000000003,13.082720463322959,87.12776085911499,41.211467367390945,1.5466490417900551,0.11225,18.251708558747172,1.0,137.37155789130313,1.139770817178847,0.03325,2.3899623402247863,0.3475,206.0573368369547,1.091134669973158,0.03025,1.7875603174787544,0.15575
ridgecrest,wasatch_slc,C,False,False,740.7980867653287,0.022222222222222223,0.11111111111111112,6.0,,14.554686617513378,94.65431158609425,,1.6244287582321935,0.09,23.456407993277157,0.7435,,1.1566719421017404,0.0765,2.576786592496351,0.155,,1.1018948008129934,0.06125,1.8795431535996312,0.09925
ridgecrest,san_jacinto,C,False,True,271.95000593318883,0.7444444444444445,3.7222222222222223,2.618181818181818,3.500000000000002,76.81618821567565,344.7960696881728,37.58288905486106,12.942799459202606,1.0,98047.00866902756,1.0,125.27629684953686,2.1557999952386258,0.2695,31.436218917224746,1.0,187.9144452743053,1.6688052002783837,0.096,9.960631414206873,1.0
denali,long_valley,A,True,True,3452.2461708034125,0.8111111111111111,4.055555555555555,2.5250624999999993,3.3500000000000023,28.408983686572867,201.32696397473075,36.26881037510927,2.5778768218975294,0.51925,821.3084991943782,1.0,120.89603458369757,1.3285522783644517,0.0405,7.487759643340935,1.0,181.34405187554637,1.2085160772848773,0.0225,3.82737718240177,0.91225
denali,coso,A,True,True,3657.901445017407,0.5222222222222223,2.611111111111111,3.0000000000000004,4.200000000000003,25.80711714283897,186.84605393054008,43.0525357586797,2.3637213919529416,0.24275,506.84325683960157,1.0,143.50845252893234,1.2944309418450113,0.025,6.478315606495357,0.9865,215.26267879339852,1.1877341870360603,0.01875,3.475159438465152,0.622
denali,geysers,A,True,True,3194.9534940979197,2.4,12.0,1.7326459684893418,2.100000000000001,32.3067652031199,222.48152491457677,22.258120341881334,2.9355422037380263,0.99325,1662.455209455032,1.0,74.19373447293778,1.3813587994732006,0.1535,9.251773372968522,1.0,111.29060170940666,1.2403311925087965,0.0765,4.407070425468612,1.0
denali,yellowstone,A,True,True,3109.551769115477,0.6222222222222222,3.111111111111111,4.5,6.0,33.792963510206064,230.39500501115884,53.75278407684165,3.0846312400600473,0.1085,2164.2593934628885,1.0,179.1759469228055,1.4020418454029726,0.001,10.013658890954977,0.99875,268.7639203842083,1.2526814620980125,0.0,4.645814469068355,0.527
